Procesos,Individuos,Posiciones,Repeticiones,Tiempo Promedio,Tiempo Promedio std,Tiempo Promedio Calcular Frecuencias,Tiempo Promedio Calcular Frecuencias std,Tiempo Promedio Calcular Hoplotipo,Tiempo Promedio Calcular Hoplotipo std,speed_up_total,speed_up_frecuencias,speed_up_haplo,eficiencia_total,eficiencia_frecuencias,eficiencia_haplo
1,500,4,10,0.1123276519589126,0.0101735067844859,0.0217393159866333,0.0066850836134219,0.054202389717102,0.0054379746309547,1.0,1.0,1.0,100.0,100.0,100.0
1,500,6,10,0.2555218010675162,0.0120517959543614,0.0641165494918823,0.0074052175572015,0.1551153421401977,0.0068216694424016,1.0,1.0,1.0,100.0,100.0,100.0
1,500,8,10,0.8292243547737599,0.0059452351525797,0.2114830255508422,0.0034109716535467,0.5809783697128296,0.0058509804366215,1.0,1.0,1.0,100.0,100.0,100.0
1,500,10,10,3.2573911988642066,0.0088730585593477,0.8475122213363647,0.001591258722048,2.373797631263733,0.0083413378152248,1.0,1.0,1.0,100.0,100.0,100.0
1,500,12,10,13.253765233955344,0.0475090116974563,3.4998334646224976,0.0201085477503355,9.71606080532074,0.0324646231038125,1.0,1.0,1.0,100.0,100.0,100.0
1,1000,4,10,0.1650181798497215,0.0038461673068247,0.0334289789199829,0.0030268635235874,0.0810265064239501,0.0018556861428782,1.0,1.0,1.0,100.0,100.0,100.0
1,1000,6,10,0.4480677882907912,0.0049282156755321,0.1098950862884521,0.0041880207088083,0.2877978086471557,0.0020396007586241,1.0,1.0,1.0,100.0,100.0,100.0
1,1000,8,10,1.6206445530988276,0.0046456236004248,0.4163884162902832,0.0034200257206369,1.1528398752212523,0.0036708903222955,1.0,1.0,1.0,100.0,100.0,100.0
1,1000,10,10,6.516782936290838,0.0885102756816055,1.6933000087738037,0.0030971083038518,4.771830654144287,0.0893675821468358,1.0,1.0,1.0,100.0,100.0,100.0
1,1000,12,10,26.63994115772657,0.0428216369485028,7.003663992881775,0.0109447694019891,19.58471119403839,0.0415367724249485,1.0,1.0,1.0,100.0,100.0,100.0
1,1500,4,10,0.2434720691526308,0.0065675973321044,0.0462519884109497,0.0033050559410372,0.1276045083999633,0.006053445523674,1.0,1.0,1.0,100.0,100.0,100.0
1,1500,6,10,0.6802505979081616,0.0124840782078932,0.1619698047637939,0.0092762453892588,0.4472844123840332,0.0058977359313294,1.0,1.0,1.0,100.0,100.0,100.0
1,1500,8,10,2.4889615326654164,0.0094759537111828,0.6227202653884888,0.0092254827047462,1.7941468715667723,0.0044723787315221,1.0,1.0,1.0,100.0,100.0,100.0
1,1500,10,10,10.099835498048924,0.0468369936492648,2.5409548759460447,0.0125037716101141,7.487772297859192,0.0425750621066161,1.0,1.0,1.0,100.0,100.0,100.0
1,1500,12,10,41.06194148710929,0.0565265948225578,10.493842911720275,0.0155505322631697,30.490629506111144,0.0442667514969654,1.0,1.0,1.0,100.0,100.0,100.0
1,3000,4,10,0.4543288938002661,0.0114249380393963,0.0854041337966919,0.0054081937132928,0.2465346574783325,0.0089805814162852,1.0,1.0,1.0,100.0,100.0,100.0
1,3000,6,10,1.3295036934316158,0.0089673583555739,0.3125473022460937,0.0065394332744708,0.8948332786560058,0.0052199732026549,1.0,1.0,1.0,100.0,100.0,100.0
1,3000,8,10,4.994516496011056,0.0991428981916886,1.2342002153396607,0.0070834263038255,3.640061640739441,0.099392059481019,1.0,1.0,1.0,100.0,100.0,100.0
1,3000,10,10,19.805664539290596,0.1185012134456925,5.060703229904175,0.0049509516534239,14.620431566238404,0.1171918101579217,1.0,1.0,1.0,100.0,100.0,100.0
1,3000,12,10,81.65988420473877,0.0913841551609133,20.950727438926695,0.0382099292398303,60.58600535392761,0.0731408501073336,1.0,1.0,1.0,100.0,100.0,100.0
2,500,4,10,0.0918694288004189,0.0052201097392828,0.0225011587142944,0.0045352426251538,0.0330071687698364,0.0041359833873533,1.2226880413389531,0.96614206684489,1.6421399270886528,61.13440206694766,48.3071033422445,82.10699635443264
2,500,6,10,0.1574188372585922,0.0059519315285763,0.0378624200820922,0.0044931636850268,0.083162236213684,0.0039787964227859,1.6231971059967245,1.6934086451121362,1.8652136979774254,81.15985529983622,84.67043225560681,93.26068489887128
2,500,8,10,0.463499970221892,0.0088175925739379,0.1183927774429321,0.0056710163478707,0.3093525409698486,0.0061556214224839,1.7890494240523558,1.7862831679304223,1.8780462183740565,89.45247120261779,89.31415839652111,93.90231091870282
2,500,10,10,1.7148100555874408,0.0182772399059966,0.4424991369247436,0.0056432880969421,1.234971213340759,0.0158163684921162,1.8995638544633593,1.9152855918010576,1.9221481485728718,94.97819272316796,95.76427959005288,96.10740742864358
2,500,12,10,6.907891544932499,0.0242565607174491,1.829037570953369,0.0134562378442504,5.042472195625305,0.0196104477810779,1.918641187075101,1.913483637626012,1.9268446960897667,95.93205935375505,95.6741818813006,96.34223480448834
2,1000,4,10,0.1274065673351287,0.0059435693929693,0.0270247220993041,0.004277862406354,0.0529441356658935,0.0032347785962098,1.295209370296114,1.2369777123755774,1.5304151329482785,64.76046851480571,61.84888561877887,76.52075664741392
2,1000,6,10,0.2837700036820024,0.0094927565139748,0.0724703311920166,0.0047366696589181,0.1629132270812988,0.0052761674833233,1.5789822126263344,1.5164148484056914,1.7665711606310248,78.94911063131673,75.82074242028457,88.32855803155124
2,1000,8,10,0.87650826650206,0.0098382005231963,0.2268205404281616,0.0069193286434231,0.6009761333465576,0.0067636535772179,1.848978058776835,1.8357615033642043,1.918278965258772,92.44890293884175,91.78807516821021,95.9139482629386
2,1000,10,10,3.389159738412127,0.0196790940845939,0.8837153196334839,0.0101252097928512,2.4567226648330687,0.0162672807442513,1.9228314506486055,1.9161148066054694,1.9423562628582363,96.14157253243027,95.80574033027347,97.11781314291181
2,1000,12,10,13.810384472366422,0.071742718320846,3.655355930328369,0.0517787717091433,10.107099843025209,0.0557130881074646,1.9289789658666754,1.916000555451414,1.9377181880273568,96.44894829333377,95.8000277725707,96.88590940136784
2,1500,4,10,0.1893773472867906,0.0114552706352049,0.0441452026367187,0.012128795824263,0.0780385732650756,0.0040474784245309,1.2856451557742008,1.0477240027997659,1.6351466084153772,64.28225778871004,52.38620013998829,81.75733042076885
2,1500,6,10,0.4118610380683094,0.0174680353917827,0.0984917402267456,0.0114754843380493,0.2450328826904297,0.0089677299916142,1.651650763322114,1.644501400735843,1.8254056658555684,82.5825381661057,82.22507003679215,91.27028329277842
2,1500,8,10,1.3277225524187088,0.0104489427249349,0.332271146774292,0.0079098327934756,0.9252071142196656,0.0088698575964545,1.8746096676081019,1.874132832278379,1.9391840421374023,93.73048338040509,93.70664161391895,96.95920210687011
2,1500,10,10,5.252732572797686,0.0680189785066695,1.3183407545089725,0.0180009908237839,3.862670207023621,0.0603953176377137,1.9227774035847396,1.9273885505363486,1.9384964018527722,96.13887017923697,96.36942752681743,96.92482009263861
2,1500,12,10,21.21330338595435,0.1874582177885225,5.397545313835144,0.0344416374653823,15.746648526191713,0.1691222541276733,1.9356693646448775,1.9441880153969535,1.9363250189648595,96.78346823224388,97.20940076984768,96.81625094824298
2,3000,4,10,0.3165434773778542,0.0116824115048899,0.0593460798263549,0.005396527167236,0.1361940145492553,0.0086107996481871,1.4352811738968136,1.439086356614998,1.810172482941032,71.76405869484068,71.9543178307499,90.50862414705159
2,3000,6,10,0.8026162825757638,0.0842038434875544,0.1785533666610717,0.0093521780640076,0.5003358364105225,0.0788767287841523,1.6564623996475127,1.7504419440007983,1.7884652937827956,82.82311998237563,87.52209720003992,89.42326468913978
2,3000,8,10,2.6346411908743903,0.0223055421826948,0.6505605220794678,0.0051228168024259,1.8623975753784177,0.0209750663950175,1.8957103203694563,1.897133584734949,1.9545029959566085,94.78551601847282,94.85667923674745,97.72514979783043
2,3000,10,10,10.274903063522652,0.0507361466335003,2.6184476613998413,0.0243697754749813,7.539942383766174,0.0388785926843993,1.9275767777900976,1.9327112412851077,1.939064096526365,96.37883888950488,96.63556206425538,96.95320482631826
2,3000,12,10,42.2624834646238,0.1116546396547384,10.847843408584597,0.0377878454548724,31.29557235240936,0.0964179532615422,1.9322074215797784,1.9313264996383555,1.9359289765238392,96.61037107898892,96.56632498191777,96.79644882619196
